# E72Physics physics runs only; source run lists: /home/had/haein/work/e72/ana/e72/runmanager/runlist/tpc_runinfo
# K-beam normalization: scaler K-Beam; DAQ-Eff is K-Beam weighted.
# TRIG-D is retained only as a diagnostic scaler counter.
# rows are globally sorted by run number.
# momentum_mev run nKbeam_K-Beam TRIG-D DAQ-Eff K-BeamxDAQ-Eff run_list
  933  2865     14278695     14278724  0.801145 11439305.105775 E72Physics_933_1.txt
  933  2866     14276156     14276188  0.798770 11403365.128120 E72Physics_933_1.txt
  933  2867     14308506     14308532  0.799768 11443485.226608 E72Physics_933_1.txt
  933  2868      3714083      3714090  0.799604 2969795.623132 E72Physics_933_1.txt
  933  2870     14251296     14251318  0.801555 11423197.565280 E72Physics_933_1.txt
  933  2871     14991434     14991470  0.799932 11992127.782488 E72Physics_933_1.txt
  933  2872     14279822     14279849  0.800995 11438066.022890 E72Physics_933_1.txt
  933  2873     15224182     15224206  0.799724 12175143.725768 E72Physics_933_1.txt
  933  2874     14423948     14423970  0.799841 11536864.992268 E72Physics_933_1.txt
  933  2875     19224041     19224081  0.800687 15392439.716167 E72Physics_933_1.txt
  685  2887     16376350     16376356  0.826942 13542291.621700 E72Physics_685_1.txt
  685  2888     13060621     13060632  0.822047 10736444.311187 E72Physics_685_1.txt
  685  2889     10620152     10620168  0.817724 8684353.174048 E72Physics_685_1.txt
  685  2891     12111739     12111749  0.817841 9905476.735499 E72Physics_685_1.txt
  685  2892     11893041     11893054  0.814081 9681898.710321 E72Physics_685_1.txt
  685  2893     11436263     11436277  0.810856 9273162.471128 E72Physics_685_1.txt
  685  2894     11802159     11802172  0.813375 9599581.076625 E72Physics_685_1.txt
  685  2895     12685399     12685407  0.812180 10302827.359820 E72Physics_685_1.txt
  685  2896      7752948      7752958  0.813764 6309069.976272 E72Physics_685_1.txt
  685  2898      4067712      4067726  0.810700 3297694.118400 E72Physics_685_1.txt
  685  2901      1772635      1772638  0.809904 1435664.177040 E72Physics_685_1.txt
  685  2903     11642778     11642791  0.812176 9455984.864928 E72Physics_685_1.txt
  685  2904     12531499     12531517  0.812523 10182131.161977 E72Physics_685_1.txt
  685  2905     11532870     11532886  0.814597 9394641.303390 E72Physics_685_1.txt
  685  2906     10679642     10679661  0.819029 8746936.507618 E72Physics_685_1.txt
  685  2909     10750220     10750232  0.818405 8798033.799100 E72Physics_685_1.txt
  685  2910     11650437     11650447  0.815801 9504438.155037 E72Physics_685_1.txt
  814  2913     15735610     15735620  0.810216 12749242.991760 E72Physics_814_1.txt
  814  2914     12816227     12816252  0.809592 10375914.849384 E72Physics_814_1.txt
  814  2916      3398804      3398802  0.806948 2742658.090192 E72Physics_814_1.txt
  814  2917     15659433     15659453  0.806676 12632088.774708 E72Physics_814_1.txt
  814  2918      7842381      7842394  0.804515 6309313.150215 E72Physics_814_1.txt
  814  2921     16829154     16829163  0.808162 13600682.754948 E72Physics_814_1.txt
  814  2922     15619640     15619649  0.808722 12631946.500080 E72Physics_814_1.txt
  814  2923     16991794     16991827  0.805496 13686822.099824 E72Physics_814_1.txt
  814  2924       940843       940845  0.788214  741585.624402 E72Physics_814_1.txt
  814  2926     19116810     19116840  0.804650 15382341.166500 E72Physics_814_1.txt
  814  2927      3073110      3073117  0.807699 2482147.873890 E72Physics_814_1.txt
  814  2928     10550373     10638173  0.805380 8497059.406740 E72Physics_814_1.txt
  814  2930     17016843     17016872  0.807050 13733443.143150 E72Physics_814_1.txt
